Nodos	X	Y
0	70	69
1	0	87
2	92	45
3	47	4
4	13	66
5	96	48
6	35	32
7	34	10
8	13	94
9	85	87
10	27	5
11	27	26
12	68	97
13	7	35
14	95	24
15	66	95
16	76	35
17	72	82
18	53	18
19	25	55
20	67	76
21	23	45
22	33	77
23	61	100
24	3	9
25	77	81
26	51	4
27	56	10
28	46	17
29	23	55
30	68	30
31	19	25
32	94	70
33	46	71
34	99	61
35	74	70
36	28	14
37	24	41
38	39	98
39	40	68
40	1	62
41	72	34
42	79	77
43	67	23
44	7	11
45	36	1
46	44	33
47	52	0
48	12	70
49	32	12
50	30	38
51	88	30
52	43	9
53	57	41
54	59	97
55	21	71
56	97	98
57	73	51
58	83	16
59	78	86
60	26	96
61	31	60
62	38	0
63	46	8
64	88	92
65	13	46
66	26	8
67	82	93
68	2	83
69	77	56
70	29	20
71	29	32
72	68	57
73	90	52
74	16	15
75	25	68
76	52	9
77	63	54
78	20	29
79	87	46
80	14	23
81	12	87
82	2	73
83	3	37
84	41	92
85	28	84
86	51	5
87	94	38
88	47	12
89	5	1
90	75	67
91	84	37
92	45	32
93	50	3
94	89	88
95	81	93
96	52	19
97	82	28
98	80	89
99	42	99
